prepare_img_data : 2020-06-11 15:13:46,607 : INFO : Prediction sequence length: 30, Min. img size: 50x300
prepare_img_data : 2020-06-11 15:13:46,607 : WARNING : Make sure the sequence length fits architecture of model
uiparser : 2020-06-11 15:16:01,607 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efef00e8318>
properties : 2020-06-11 15:16:01,607 : DEBUG : setting property orientation
uiparser : 2020-06-11 15:16:01,607 : DEBUG : push QSlider slider_duration
uiparser : 2020-06-11 15:16:01,607 : DEBUG : pop widget QSlider slider_duration
uiparser : 2020-06-11 15:16:01,607 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efef00e8318>
uiparser : 2020-06-11 15:16:01,607 : DEBUG : pop layout QHBoxLayout horizontallayout_mediaControl
uiparser : 2020-06-11 15:16:01,607 : DEBUG : pop widget QWidget horizontalLayoutWidget
uiparser : 2020-06-11 15:16:01,607 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefa8cd828>
properties : 2020-06-11 15:16:01,607 : DEBUG : setting property geometry
uiparser : 2020-06-11 15:16:01,607 : DEBUG : push QWidget verticalLayoutWidget
properties : 2020-06-11 15:16:01,607 : DEBUG : setting property pyuicMargins
uiparser : 2020-06-11 15:16:01,607 : DEBUG : push QVBoxLayout verticalLayout
properties : 2020-06-11 15:16:01,608 : DEBUG : setting property sizePolicy
properties : 2020-06-11 15:16:01,608 : DEBUG : setting property font
properties : 2020-06-11 15:16:01,608 : DEBUG : setting property text
